layer,block_size,target_sparsity,mask_type,local_blocks,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
23,16,0.6,local_plus_score,4,1.0,0.5606060606060606,0.4393939393939394,0.6912793517112732,0.7031866312026978,0.9999999403953552,0.3087206184864044,0.34660935401916504,0.7872835397720337,0.9135873913764954,0.7396876215934753,0.6174412369728088,7.065069675445557,0.7880859375,False,False
23,16,0.6,local_plus_oracle,1,1.0,0.5757575757575757,0.42424242424242425,0.7597535252571106,0.7737936973571777,0.9988477230072021,0.24024651944637299,0.24913708865642548,0.5038822293281555,0.9645113348960876,0.9121075868606567,0.48049303889274597,5.37066650390625,0.7958984375,False,False
23,16,0.6,local_plus_oracle,2,1.0,0.5738636363636364,0.42613636363636365,0.7481287121772766,0.7611045837402344,0.999981701374054,0.25187134742736816,0.263764351606369,0.5640705227851868,0.955277144908905,0.8827365636825562,0.5037426948547363,5.644794940948486,0.794921875,False,False
23,16,0.6,local_plus_oracle,4,1.0,0.5606060606060606,0.4393939393939394,0.7216697931289673,0.7377243041992188,0.9999999403953552,0.27833011746406555,0.2979605495929718,0.7009329199790955,0.9381656646728516,0.8302465081214905,0.5566602349281311,6.274100303649902,0.7880859375,False,False
23,16,0.7,random,0,0.0,0.7010281385281385,0.29897186147186144,0.2831435203552246,0.2398897111415863,0.633662760257721,0.7168564796447754,0.7247618436813354,1.086226224899292,0.6659097671508789,0.0,1.3354986906051636,17.327505111694336,0.8500932965959822,False,False
23,16,0.7,mean_pooled_score,0,0.0,0.7329545454545454,0.26704545454545453,0.5356240272521973,0.5568665266036987,0.9469645619392395,0.46437597274780273,0.5330552458763123,1.0,0.8076911568641663,0.1269734501838684,0.8350019454956055,10.890381813049316,0.8699558803013393,False,False
23,16,0.7,oracle_block_mass,0,0.0,0.6723484848484849,0.32765151515151514,0.7199739813804626,0.7126407623291016,0.9980725049972534,0.2800261080265045,0.2925526797771454,0.5452868342399597,0.9588907957077026,0.8979430198669434,0.560052216053009,6.2429633140563965,0.8366459437779018,False,False
23,16,0.7,local_window,1,0.0,0.5227272727272727,0.4772727272727273,0.640447199344635,0.6613465547561646,1.0,0.3595527708530426,0.3355867862701416,0.7904014587402344,0.8986307978630066,0.717363715171814,0.7191055417060852,8.311808586120605,0.7685546875,False,False
23,16,0.7,local_window,2,0.0,0.5227272727272727,0.4772727272727273,0.640447199344635,0.6613465547561646,1.0,0.3595527708530426,0.3355867862701416,0.7904014587402344,0.8986307978630066,0.717363715171814,0.7191055417060852,8.311808586120605,0.7685546875,False,False
23,16,0.7,local_window,4,0.0,0.5227272727272727,0.4772727272727273,0.640447199344635,0.6613465547561646,1.0,0.3595527708530426,0.3355867862701416,0.7904014587402344,0.8986307978630066,0.717363715171814,0.7191055417060852,8.311808586120605,0.7685546875,False,False
23,16,0.7,local_plus_score,1,1.0,0.6723484848484849,0.32765151515151514,0.6388767957687378,0.6326699256896973,0.9973028302192688,0.3611232340335846,0.4220627248287201,0.8468645215034485,0.9073190689086914,0.7399784326553345,0.722246527671814,8.278515815734863,0.845703125,False,False
23,16,0.7,local_plus_score,2,1.0,0.6685606060606061,0.3314393939393939,0.6334381103515625,0.615081787109375,0.9999655485153198,0.3665618896484375,0.4124948978424072,0.8408913016319275,0.9050278067588806,0.7503616213798523,0.733123779296875,8.383318901062012,0.84375,False,False
23,16,0.7,local_plus_score,4,1.0,0.6477272727272727,0.3522727272727273,0.6003287434577942,0.5850675702095032,0.9999999403953552,0.3996713161468506,0.4373163878917694,0.9170221090316772,0.8679763078689575,0.5938458442687988,0.7993425726890564,9.200766563415527,0.8330078125,False,False
23,16,0.7,local_plus_oracle,1,1.0,0.6723484848484849,0.32765151515151514,0.6753864884376526,0.6743651628494263,0.9980725049972534,0.32461342215538025,0.35652217268943787,0.6833921670913696,0.9379647970199585,0.8439656496047974,0.64922696352005,7.319366455078125,0.845703125,False,False
23,16,0.7,local_plus_oracle,2,1.0,0.6685606060606061,0.3314393939393939,0.666011393070221,0.6561651825904846,0.9999704360961914,0.33398860692977905,0.3615444600582123,0.7475945949554443,0.9322596788406372,0.8184534907341003,0.6679772138595581,7.5292510986328125,0.84375,False,False
23,16,0.7,local_plus_oracle,4,1.0,0.6477272727272727,0.3522727272727273,0.6292223930358887,0.6244521737098694,0.9999999403953552,0.3707776963710785,0.4010199010372162,0.8820476531982422,0.891436755657196,0.662872314453125,0.741555392742157,8.441596031188965,0.8330078125,False,False
